direction,method,dataset,source_model,scenario,evaluation,k,strict_f1_at_k,relaxed_f1_at_k,delta_f1_relaxed_minus_strict,strict_recall_at_k,relaxed_recall_at_k,delta_recall_relaxed_minus_strict,strict_precision_at_k,relaxed_precision_at_k,delta_precision_relaxed_minus_strict
forward,JSM,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.158655306561681,0.15217789508426952,-0.006477411477411488,0.32583842083842085,0.31734635734635736,-0.008492063492063495,0.12666666666666668,0.11333333333333333,-0.01333333333333335
forward,JSM,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.12165892378407393,0.1301986178647775,0.008539694080703555,0.29904574133370304,0.3060140671255582,0.0069683257918551345,0.09000000000000001,0.09666666666666666,0.006666666666666654
forward,JSM,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.14044932968256976,0.15542979555312852,0.014980465870558762,0.33241715845882513,0.3522628374711708,0.019845679012345685,0.11388888888888887,0.1277777777777778,0.013888888888888923
forward,JSM,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.135243003568397,0.10753244832192202,-0.027710555246474977,0.32471915692660375,0.27964879781369145,-0.045070359112912295,0.1111111111111111,0.08333333333333333,-0.027777777777777776
forward,Jina v3,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.20654921222787764,0.1969770882563432,-0.009572123971534452,0.3921204721204721,0.3649135124135124,-0.027206959706959688,0.16,0.15666666666666668,-0.003333333333333327
forward,Jina v3,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.18766700776303982,0.1724439524226943,-0.015223055340345515,0.384729125257241,0.3644157349438507,-0.0203133903133903,0.14333333333333334,0.13,-0.013333333333333336
forward,Jina v3,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.1592281964680445,0.14154698349183925,-0.017681212976205257,0.3456188102021435,0.2834308438475105,-0.06218796635463303,0.11944444444444444,0.1138888888888889,-0.005555555555555536
forward,Jina v3,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.18449672410648257,0.11782147864853271,-0.06667524545794987,0.36688146140352024,0.24367106613430142,-0.12321039526921881,0.14722222222222223,0.10277777777777779,-0.04444444444444444
forward,LSI,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.20014165941265408,0.1151978073497061,-0.08494385206294798,0.4324623524623525,0.218497150997151,-0.21396520146520148,0.15,0.09000000000000001,-0.059999999999999984
forward,LSI,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.10187915777290105,0.05865059394175869,-0.043228563831142354,0.27434419811354793,0.15596456869370687,-0.11837962941984106,0.07666666666666667,0.05,-0.026666666666666672
forward,LSI,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.07400659769080822,0.07294376590042224,-0.001062831790385979,0.13215388007054674,0.1215002204585538,-0.010653659611992938,0.07500000000000001,0.07777777777777778,0.002777777777777768
forward,LSI,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.09026642816965398,0.06273263773263774,-0.027533790437016245,0.2233387445887446,0.14152988215488216,-0.08180886243386243,0.08055555555555556,0.06666666666666667,-0.013888888888888895
forward,Qwen3 0.6B,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.24125070953444142,0.21950467778840965,-0.021746031746031763,0.45821886446886445,0.4182188644688645,-0.039999999999999925,0.18333333333333332,0.16666666666666666,-0.016666666666666663
forward,Qwen3 0.6B,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.17527302125911734,0.18811290279465104,0.012839881535533698,0.4013200457366704,0.40428300869963335,0.002962962962962945,0.12333333333333334,0.13333333333333333,0.009999999999999995
forward,Qwen3 0.6B,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.13298957594833924,0.11408915538125203,-0.01890042056708721,0.30006995319495317,0.25666717541717543,-0.043402777777777735,0.10555555555555557,0.09166666666666667,-0.013888888888888895
forward,Qwen3 0.6B,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.17137888078924915,0.1101461392488673,-0.061232741540381844,0.40438429081811433,0.2819453463203463,-0.12243894449776804,0.11944444444444444,0.07500000000000001,-0.044444444444444425
forward,Qwen3 4B,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.2648413912083142,0.24085197321889623,-0.02398941798941795,0.5116572547822548,0.48479828042328044,-0.02685897435897433,0.2,0.17666666666666667,-0.023333333333333345
forward,Qwen3 4B,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.18357804102301883,0.17938756483254265,-0.004190476190476189,0.4149356181107927,0.4116022847774594,-0.0033333333333332993,0.13,0.12666666666666668,-0.003333333333333327
forward,Qwen3 4B,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.1526984588946476,0.12976205898345186,-0.022936399911195726,0.3151365995115995,0.26235882173382175,-0.05277777777777776,0.125,0.1111111111111111,-0.013888888888888895
forward,Qwen3 4B,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.1587667335865827,0.10023699200290065,-0.05852974158368204,0.3513928378266613,0.2320851778940014,-0.1193076599326599,0.12777777777777777,0.08333333333333333,-0.04444444444444444
forward,Stella 1.5B,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.2329928010692582,0.2440358584873632,0.01104305741810499,0.4783483414733415,0.46480133292633297,-0.013547008547008521,0.17666666666666667,0.18666666666666665,0.009999999999999981
forward,Stella 1.5B,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.21233627877901412,0.2240439373538358,0.011707658574821672,0.47842792645604226,0.49500744715321,0.016579520697167727,0.15333333333333335,0.16,0.006666666666666654
forward,Stella 1.5B,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.20135291362444593,0.17993761747916703,-0.0214152961452789,0.45453958078958073,0.40356023606023605,-0.05097934472934468,0.15555555555555556,0.14444444444444446,-0.0111111111111111
forward,Stella 1.5B,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.16621386557630957,0.13008634338114175,-0.03612752219516782,0.3765484667721839,0.31024555671927384,-0.06630291005291006,0.125,0.09722222222222222,-0.027777777777777776
forward,VSM,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.17331620122257568,0.16459500956020753,-0.00872119166236815,0.37394688644688645,0.3382061457061457,-0.03574074074074074,0.12666666666666668,0.12333333333333334,-0.003333333333333341
forward,VSM,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.1062710556158622,0.128279968678996,0.022008913063133795,0.2883685867509397,0.31127163685987214,0.022903050108932455,0.07,0.09000000000000001,0.020000000000000004
forward,VSM,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.14407390652459515,0.1477604471469286,0.0036865406223334507,0.3431496743996744,0.3350130579297246,-0.008136616469949842,0.1111111111111111,0.12222222222222223,0.011111111111111127
forward,VSM,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.16793819314501426,0.12620569492922792,-0.04173249821578634,0.3865620667458903,0.29953495034377386,-0.08702711640211641,0.13611111111111113,0.10277777777777779,-0.03333333333333334
backward_all_candidate,JSM,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.13751493428912784,0.10123188405797102,-0.03628305023115681,0.25492831541218636,0.18768115942028984,-0.06724715599189651,0.09767025089605734,0.07246376811594202,-0.025206482780115322
backward_all_candidate,JSM,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.07373900556453061,0.06956228956228956,-0.0041767160022410516,0.13597199784598815,0.1292929292929293,-0.006679068553058859,0.05277329025309639,0.049494949494949494,-0.003278340758146897
backward_all_candidate,JSM,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.07880072521729857,0.07327594885734422,-0.005524776359954353,0.1434143870314083,0.13479059699989931,-0.008623790031508982,0.05636431504292646,0.052149400986610285,-0.004214914056316174
backward_all_candidate,JSM,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.07400837840704211,0.0692247949128683,-0.004783583494173807,0.13392724573125464,0.12646958885490994,-0.007457656876344698,0.053452115812917596,0.04960924226979273,-0.003842873543124868
backward_all_candidate,Jina v3,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.12156398104265402,0.08940234134319162,-0.0321616396994624,0.21761453396524486,0.1589648798521257,-0.05864965411311915,0.09320695102685624,0.06900800985828712,-0.02419894116856912
backward_all_candidate,Jina v3,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.10281923714759536,0.07971210076473235,-0.023107136382863006,0.1865671641791045,0.1452991452991453,-0.04126801887995918,0.07683803206191266,0.059379217273954114,-0.017458814787958542
backward_all_candidate,Jina v3,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.08255442176870749,0.08003864544442262,-0.002515776324284874,0.14629931972789115,0.14243793803628743,-0.003861381691603716,0.06047619047619047,0.058688674919761576,-0.0017875155564288925
backward_all_candidate,Jina v3,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.09421395955642531,0.07977649393090569,-0.014437465625519619,0.16710045662100456,0.14281045751633986,-0.0242899991046647,0.06940639269406393,0.05800653594771241,-0.011399856746351515
backward_all_candidate,LSI,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.0996550874599655,0.058595194085027724,-0.041059893374937775,0.17405764966740578,0.10135551447935921,-0.07270213518804657,0.07686622320768662,0.04744300677757239,-0.029423216430114224
backward_all_candidate,LSI,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.059373975745657157,0.036550836550836546,-0.02282313919482061,0.10644051130776795,0.06241956241956242,-0.044020948888205534,0.04523107177974434,0.029601029601029602,-0.01563004217871474
backward_all_candidate,LSI,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.03573920265780731,0.03780256288561937,0.002063360227812054,0.06771594684385382,0.0724015187470337,0.004685571903179878,0.0251937984496124,0.026578073089700997,0.001384274640088598
backward_all_candidate,LSI,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.05719485495347565,0.04466420034149118,-0.012530654611984472,0.10329501915708811,0.07908366533864543,-0.02421135381844268,0.041379310344827586,0.03286852589641434,-0.008510784448413244
backward_all_candidate,Qwen3 0.6B,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.12041214146477304,0.10235322658903445,-0.018058914875738588,0.21386800334168754,0.1804949053857351,-0.03337309795595245,0.09273182957393483,0.07933042212518195,-0.013401407448752886
backward_all_candidate,Qwen3 0.6B,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.0943447525829255,0.07398710865561695,-0.020357643927308558,0.17074497009244155,0.13328729281767956,-0.037457677274761986,0.07123436650353453,0.05616942909760589,-0.015064937405928638
backward_all_candidate,Qwen3 0.6B,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.09461077844311377,0.08521880819366853,-0.009391970249445242,0.16847733105218135,0.1529462623038042,-0.015531068748377147,0.0688622754491018,0.061452513966480445,-0.007409761482621353
backward_all_candidate,Qwen3 0.6B,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.10646755778334727,0.07723867595818816,-0.029228881825159106,0.18942495126705652,0.13987804878048782,-0.049546902486568706,0.07797270955165692,0.0556910569105691,-0.022281652641087814
backward_all_candidate,Qwen3 4B,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.10702903296223533,0.09613026819923372,-0.010898764763001612,0.1899148657498363,0.16954022988505746,-0.020374635864778834,0.08185985592665357,0.07413793103448275,-0.0077219248921708145
backward_all_candidate,Qwen3 4B,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.09279365079365079,0.07204707860445565,-0.020746572189195137,0.17238095238095238,0.1343001261034048,-0.03808082627754758,0.0676190476190476,0.052543085329970575,-0.015075962289077031
backward_all_candidate,Qwen3 4B,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.08880459770114943,0.08300653594771241,-0.005798061753437014,0.16418390804597702,0.153781512605042,-0.01040239544093502,0.0625287356321839,0.05838779956427015,-0.004140936067913756
backward_all_candidate,Qwen3 4B,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.10516703194527463,0.08561710398445092,-0.019549927960823707,0.19397954439795445,0.1594637855142057,-0.03451575888374875,0.07484890748489074,0.06042416966786714,-0.014424737817023602
backward_all_candidate,Stella 1.5B,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.13483057525610717,0.10954248366013072,-0.025288091595976447,0.23916469661150513,0.19509803921568628,-0.04406665739581886,0.10323089046493301,0.08366013071895424,-0.019570759745978772
backward_all_candidate,Stella 1.5B,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.10168243953732913,0.081834451901566,-0.01984798763576312,0.1861198738170347,0.14899328859060404,-0.03712658522643067,0.07570977917981073,0.06129753914988814,-0.014412240029922585
backward_all_candidate,Stella 1.5B,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.09574982231698649,0.09497504384189938,-0.0007747784750871123,0.1723276474769012,0.17224133279374074,-8.631468316047664e-05,0.06915422885572138,0.0684608120868744,-0.0006934167688469745
backward_all_candidate,Stella 1.5B,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.10898696228125218,0.08729866946778711,-0.02168829281346507,0.1988530990727184,0.15894607843137254,-0.03990702064134585,0.07857491459248414,0.06290849673202614,-0.015666417860458
backward_all_candidate,VSM,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.13257575757575757,0.09437321937321937,-0.0382025382025382,0.2424242424242424,0.17165242165242164,-0.07077182077182076,0.09564393939393939,0.06837606837606838,-0.02726787101787101
backward_all_candidate,VSM,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.0883050538222952,0.08050059191611703,-0.007804461906178173,0.1590038314176245,0.14637239979705735,-0.012631431620567152,0.0662287903667214,0.0593607305936073,-0.006868059773114096
backward_all_candidate,VSM,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.08752546473134708,0.08302573203194322,-0.0044997326994038606,0.1605201171377642,0.1537089618456078,-0.006811155292156396,0.062388591800356503,0.0587991718426501,-0.0035894199577064037
backward_all_candidate,VSM,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.09590367277787863,0.08438680500133014,-0.011516867776548492,0.1794578568403219,0.15646182495344507,-0.022996031886876822,0.06734434561626429,0.05959031657355679,-0.0077540290427075
